name,designation,department,profile_url,vidwan_id,orcid_id,scopus_id,researcher_id,gscholar_id,total_publications,citations_box,google_scholar_citations,h_index,coauthor_count,expertise
Dr Rajan Kumar,Assistant Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90307,90307,0000-0002-9929-5915,57198684252,X-8430-2019,GNhYvuQAAAAJ&hl=en,77,1,,22,206,Mechanical Engineering
Dr Nitin Sharma,Assistant Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90353,90353,0000-0001-6077-0224,57205972288,X-8877-2019,https://scholar.google.co.in/citations?hl=en&authu,40,3,,11,115,Mechanical Engineering
Dr Ranchan Chauhan,Assistant Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90355,90355,0000-0001-7223-2829,55436643300,U-1685-2019,NaeTUpYAAAAJ,72,2,,34,320,Mechanical Engineering
Dr Satyender Singh,Assistant Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/90007,90007,0000-0001-7813-8139,56175934000,P-1364-2019,#NAME?,54,1,,20,92,Mechanical Engineering
Dr Manoj Kumar,Assistant Professor,Department of Mechanical Engineering,https://nitj.irins.org/profile/89999,89999,0000-0002-1847-1797,36866364100,X-7830-2019,iE7guc8AAAAJ,70,6,,10,112,Mechanical Engineering
Dr Harsh Kumar Verma,Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/90371,90371,0000-0003-4826-6150,57204684351,Y-4606-2019,https://scholar.google.co.in/citations?hl=en&user=,290,8,,28,267,Computer Science Information Systems
Prof Amrit Lal  Sangal,Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/90431,90431,0000-0003-2501-4014,56661082800,Z-5459-2019,S2tBrxcAAAAJ&hl=en,117,4,,17,93,Computer Science Information Systems
Mr Deepak Kumar Gupta,Associate Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/89959,89959,0000-0001-9396-6100,56723372000,Y-4942-2019,https://scholar.google.co.in/citations?user=mb1pZX,21,49,,5,72,Computer Science Information Systems
Dr Rajneesh Rani,Associate Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/90281,90281,0000-0003-2104-227X,36997524100,Y-2242-2019,VUihxm8AAAAJ,112,1,,14,162,Computer Science Artificial Intelligence
Dr Renu Dhir,Associate Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/90405,90405,0003-1641-2619,26423661100,Y-4453-2019,,84,4,,14,100,Multidisciplinary Engineering
Sumit Kumar,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/652794,652794,,,,,,,,,,Computer Science Hardware and Architecture
Dr Prashant Kumar,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/73815,73815,0000-0001-8100-8220,57200376778,K-6989-2019,iTfItCMAAAAJ,33,1,,7,62,Computer Science Information Systems
Dr Armaan Garg,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/652791,652791,0000-0001-6796-1381,57489071600,LBH-5508-2024,W2lbSSMAAAAJ,16,1,,4,23,Computer Science Artificial Intelligence
Dr Pranjal Kumar,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/651971,651971,0000-0002-6167-9884,57220738187,OIS-3962-2025,rqVF0pkAAAAJ,13,1,,8,20,Computer Science Artificial Intelligence
Dr Prashant Shukla,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/649525,649525,0000-0001-7599-7982,57650530200,OIU-3601-2025,BUW0244AAAAJ,18,98,,5,26,Computer Science Information Systems
Mrs Madhurima Buragohain,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/602940,602940,0000-0002-9411-5743,57203248987,MEP-4159-2025,E9bb5RsAAAAJ,11,28,,4,16,Computer Science Information Systems
Dr Muktesh Gupta,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/582627,582627,0000-0002-3135-8588,57536785700,,,20,1,,8,46,Computer Science Artificial Intelligence
Dr Himanshu Verma,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/386631,386631,0000-0002-6943-999X,56785426800,ABR-3115-2022,MD55-F8AAAAJ,20,164,,6,71,Computer Science Theory and Methods
Dr Banalaxmi Brahma,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/343213,343213,0000-0002-0647-0359,57217113847,HMD-6587-2023,HD958GcAAAAJ,14,2,,4,30,Computer Science Artificial Intelligence
Dr Shefali Arora Chouhan,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/339304,339304,0000-0002-8839-749X,57207977735,HMD-8033-2023,RYm6f-YAAAAJ,29,2,,9,49,Computer Science Artificial Intelligence
Dr Jagdeep Kaur,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/130772,130772,0000-0002-9538-8022,10240510100,,kaurj@nitj.ac.in,27,1,,4,24,Computer Science Software Engineering
Dr Aruna Malik,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/130114,130114,0000-0003-1136-6828,57212400824,AAL-1997-2020,3D73AlMAAAAJ,88,1,,19,225,Computer Science Information Systems
Dr Amritpal Singh,Assistant Professor (Grade-II),Department of Computer Science and Engineering,https://nitj.irins.org/profile/114058,114058,0000-0002-2080-7392,57212845937,AAS-9168-2020,At9LsDsAAAAJ,35,3,,6,62,Computer Science Information Systems
Dr Urvashi Bansal,Assistant Professor (Grade-I),Department of Computer Science and Engineering,https://nitj.irins.org/profile/103139,103139,0000-0002-3395-9942,55532227700,AAD-4732-2019,1dpDSxIAAAAJ,48,1,,7,85,Computer Science Information Systems
Dr Nagendra Pratap  Singh,Assistant Professor (Grade-I),Department of Computer Science and Engineering,https://nitj.irins.org/profile/101398,101398,,56784812400,,PGL06IIAAAAJ,60,2,,14,131,Computer Science Artificial Intelligence
Dr KUNWAR PAL,Assistant Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/130134,130134,0000-0001-9482-696X,56146361600,A-5785-2019,c8ETTk8AAAAJ,28,1,,7,107,Computer Science Theory and Methods
Dr Manoj Kumar Somesula,Assistant Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/236795,236795,0000-0002-2323-0103,57222527293,AAK-1099-2021,IR-RwgoAAAAJ,18,188,,8,33,Computer Science Theory and Methods
Dr LALATENDU BEHERA,Assistant Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/114012,114012,0000-0002-5932-6596,55124660700,AAS-9207-2020,UerEKpIAAAAJ,9,42,,4,4,Computer Science Theory and Methods
Dr SHVETA MAHAJAN,Assistant Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/343239,343239,0000-0002-5645-9780,53983023800,E-5728-2012,Wxjd84AAAAAJ,21,141,,3,47,Computer Science Artificial Intelligence
Dr Swarnima Singh Gautam,Assistant Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/479918,479918,0000-0002-7565-2092,57190806402,JXL-4824-2024,,5,1,,4,4,Computer Science Software Engineering
Mr Rahul Aggarwal,Assistant Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/90393,90393,,,GNW-3046-2022,KM53GUMAAAAj,,,,,,Computer Science Software Engineering
Dr Krishna Pal Sharma,Assistant Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/90249,90249,0000-0003-2672-3154,57209161795,Y-4505-2019,QM9qltUAAAAJ,56,3,,,428,Computer Science Information Systems
Dr Avtar Singh,Assistant Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/90177,90177,,57209902520,Z-2915-2019,UN4_VkEAAAAJ,33,88,,6,26,Computer Science Information Systems
Dr Kuldeep Kumar,Assistant Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/90087,90087,0000-0003-1160-9092,57202765898,Y-4439-2019,H7jzu-QAAAAJ&hl=en,62,5,,8,102,Computer Science Software Engineering
Dr Samayveer Singh,Assistant Professor,Department of Computer Science and Engineering,https://nitj.irins.org/profile/90031,90031,0000-0002-4199-721X,57209533254,X-8119-2019,https://scholar.google.co.in/citations?user=DONY6G,163,1,,25,382,Computer Science Information Systems
Dr Sarwan Kumar,Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/90009,90009,0000-0003-1471-668,22836340200,U-7108-2019,https://scholar.google.com/citations?user=LnrYtjMA,45,4,,7,53,Multidisciplinary Engineering
Prof Ajai Kumar jain,Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/98011,98011,0000-0003-2142-1771,57217603367,,DmVXcVAAAAAJ,66,1,,4,16,Multidisciplinary Engineering
Prof Kuldeep Singh Nagla,Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/89993,89993,0000-0001-5147-9603,16233981100,X-8867-2019,q-_jk8wAAAAJ,67,1,,10,27,Agronomy
Mr Narinder Singh Bhangal,Associate Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/90267,90267,0000-0002-6327-7627,57192414286,Y- 1065-2019,6DSd1AQAAAAJ,26,1,,2,18,Multidisciplinary Engineering
Dr Sheela Tiwari Tiwari,Associate Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/90109,90109,0000-0003-4204-4135,57208894482,GHM-7368-2022,SheelaTiwari,34,1,,7,30,Electrical and Electronic Engineering
Prof Rajesh Singla,Associate Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/90081,90081,,22836038700,P-3776-2015,,62,1,,10,81,Instruments and Instrumentation
Dr Roop Pahuja,Associate Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/90079,90079,0000-0002-1575-9349,22836470800,X-8544-2019,o7GmAm8AAAAJ,69,2,,11,79,Instruments and Instrumentation
Dr Deblina Biswas,Assistant Professor (Grade-II),Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/275481,275481,0000-0003-4411-3165,56606755000,F-8926-2017,N8s-f_gAAAAJ,41,12,,16,252,Multidisciplinary Engineering
Dr Anil Kumar Yadav,Assistant Professor (Grade-I),Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/155520,155520,0000-0001-9264-0977,37058062500,AAZ-9867-2021,FLmQircAAAAJ,89,2,,27,172,Electrical and Electronic Engineering
Dr Richa Sharma,Assistant Professor (Grade-I),Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/341131,341131,,56182834900,,zpggVB0AAAAJ,25,825,,13,59,Biomedical Engineering
Dr Afzal Sikander,Assistant Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/90127,90127,0000-0002-9165-3167,56652135500,N-8387-2017,NsR5pAoAAAAJ,83,1,,18,152,Multidisciplinary Engineering
Dr Sathiya S,Assistant Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/90129,90129,0000-0002-4944-3174,55657970900,N-6890-2017,3BJh3xEAAAAJ,22,74,,6,26,Instruments and Instrumentation
Dr Amit Kumar Singh,Assistant Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/90145,90145,0000-0002-1571-3455,56330906800,L-3409-2016,,43,2,,8,69,Instruments and Instrumentation
Dr Karan Veer,Assistant Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/90357,90357,0000-0003-2842-9397,56381579700,I-6528-2017,https://scholar.google.co.in/citations?user=dn2e--,79,1,,14,71,Instruments and Instrumentation
Dr Om Prakash Verma,Assistant Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/90057,90057,0000-0002-7421-295X,56594677400,S-5642-2017,https://scholar.google.co.in/citations?user=127RG7,8,6,,1,63,Automation and Control Systems
Karan Veer,Assistant Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/98263,98263,,56381579700,I-6528-2017,,79,1,,14,71,Biomedical Engineering
Dr Karan Jain,Assistant Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/107380,107380,0000-0002-5011-6795,56193095300,AAS-9171-2020,https://scholar.google.co.in/citations?user=asu9hv,19,1,,5,28,Biomedical Engineering
Dr Mahendra Kumar,Assistant Professor,Department of Instrumentation and Control Engineering,https://nitj.irins.org/profile/339290,339290,0000-0002-9548-8357,57214630136,K-5315-2017,ucki5NUAAAAJ,52,1,,17,133,Automation and Control Systems
Prof Asim Kumar Jana,Professor,Department of Biotechnology,https://nitj.irins.org/profile/92027,92027,0000-0002-1182-7391,35786259900,Y-1732-2019,,101,5,,25,457,Multidisciplinary Engineering
Dr NITAI BASAK,Associate Professor,Department of Biotechnology,https://nitj.irins.org/profile/90187,90187,0000-0002-6539-8609,15764483900,Y-4752-2019,https://scholar.google.co.in/citations?user=eHodNG,40,1,,20,38,Multidisciplinary Engineering
Dr Chandi  Patra,Assistant Professor (Grade-II),Department of Biotechnology,https://nitj.irins.org/profile/340000,340000,0000-0002-9839-7426,57204469400,GPX-8280-2022,uQ1dAt8AAAAJ,15,1,,15,53,Environmental Engineering
Dr Mahesh Kumar Sah,Assistant Professor,Department of Biotechnology,https://nitj.irins.org/profile/90003,90003,0000-0002-7380-809X,49662349800,X-8406-2019,,43,2,,10,129,Multidisciplinary Engineering
Dr Nikhil GN,Assistant Professor,Department of Biotechnology,https://nitj.irins.org/profile/90107,90107,0000-0002-4858-2439,55290323700,KTN-0760-2024,5y5Uev4AAAAJ,40,2,,19,127,Multidisciplinary Engineering
Dr Anee  Mohanty,Assistant Professor,Department of Biotechnology,https://nitj.irins.org/profile/90111,90111,0000-0002-8300-5549,55974871000,Y-1346-2019,,7,1,,1,21,Environmental Engineering
Dr Indu Chauhan,Assistant Professor,Department of Biotechnology,https://nitj.irins.org/profile/90119,90119,0000-0001-6501-2430,55930303700,X-9867-2019,GVZlQ4AAAAJ,21,1,,17,53,Nanoscience and Nanotechnology
Dr SumerSingh Meena,Assistant Professor,Department of Biotechnology,https://nitj.irins.org/profile/90191,90191,0000-0002-3932-2643,56992647700,X-9901-2019,0_j6vRcAAAAJ,18,1,,3,46,Biotechnology and Applied Microbiology
Dr Prangya Ranjan Rout,Assistant Professor,Department of Biotechnology,https://nitj.irins.org/profile/341590,341590,0000-0001-9263-3806,56009296600,AEM-2331-2022,Z6mDrVAAAAAJ,138,1,,24,453,Environmental Engineering
Dr R R Sinha,Associate Professor,Department of Mathematics and Computing,https://nitj.irins.org/profile/90161,90161,0000-0001-6386-1973,56080938200,Y-2236-2019,https://scholar.google.com/citations?user=DCir8sIA,28,1,,4,17,Statistics and Probability
